Time,Date,Population,Food Ate,Births,Old Age,Starved,Dehydrated,Discomfort,Predator
00:00,21-6-101,37,0,9,0,0,1,1,0
00:00,22-6-101,32,0,9,0,1,1,13,0
00:00,23-6-101,27,0,0,0,1,0,6,0
00:00,24-6-101,30,0,12,0,0,0,9,0
00:00,25-6-101,30,0,12,0,0,0,12,0
00:00,26-6-101,30,0,7,0,0,0,6,1
00:00,27-6-101,43,0,2,0,1,0,0,0
00:00,28-6-101,38,0,12,0,1,1,15,0
00:00,29-6-101,30,0,8,0,0,1,14,0
00:00,30-6-101,37,0,11,0,0,1,3,0
00:00,1-7-101,31,0,11,0,1,3,12,1
00:00,2-7-101,31,0,15,0,1,0,14,0
00:00,3-7-101,30,0,11,0,0,0,12,0
00:00,4-7-101,35,0,5,0,0,0,0,0

00:00,5-7-101,32,0,7,0,0,0,4,1
00:00,6-7-101,28,0,8,0,0,0,11,1
00:00,7-7-101,39,0,13,0,3,0,0,0
00:00,8-7-101,34,0,13,0,0,0,17,1
00:00,9-7-101,36,0,3,0,0,0,6,0
00:00,10-7-101,38,0,13,0,0,0,11,0
00:00,11-7-101,33,0,13,0,0,0,18,0
00:00,12-7-101,33,0,4,0,0,0,5,1
00:00,13-7-101,37,0,13,0,1,0,7,1
00:00,14-7-101,26,0,8,0,0,2,16,1
