"Maluverec Aevisensus","","0",1,240,213,489,1676,E,migrate,5.97723,9.47679,1.67602,3.67711,0.001,1,287633,4.73256,6.32104,5.36531,7.21136,0.0160448,0.00161164,162,apple,1,27,29
"Musamita Aevivisus","","Q",1,240,141,41,1650,SE,migrate,4.79359,9.62185,1.65002,4.41525,0.001,1,287633,4.30381,8.89741,3.65038,8.82014,0.0186054,0.00169854,99,banana,0,26,7
"Malumilia Pertivisus","","0",1,240,399,24,1638,W,hungry,1.56089,9.57183,1.63802,-0.827983,0.001,1,912627,3.32846,8.89741,5.36531,8.82014,0.0146931,0.00188178,99,apple,1,4,24
"Malumita Pertivisus","","0",1,240,219,30,1638,N,hungry,4.19095,9.12064,1.63802,1.89724,0.001,1,912627,4.47797,8.89741,5.36531,4.87783,0.014842,0.00107272,99,apple,0,4,24
"Malugax Aevisensus","","0",1,240,74,199,1618,NW,hungry,2.82402,4.73365,1.61802,-0.699872,0.001,1,288162,4.30381,6.32104,3.26201,3.38648,0.0172013,0.00318124,162,apple,1,27,22
"Malugax Aevisensus","","0",1,240,400,172,1290,SW,hungry,0.712293,4.27163,1.29,-0.0482726,0.001,1,288162,3.32846,6.32104,3.21438,8.85944,0.0146931,0.00107272,163,apple,1,27,26
"Putregax Aevisensus","","m",1,240,126,194,1190,N,breed,5.61906,8.82252,1.19,7.17946,0.001,1,288162,4.34111,6.32104,3.26201,7.17624,0.0172013,0.00161164,162,scavenger,1,28,22
"Malumita Aevisensus","","0",1,240,275,381,1130,E,hungry,1.05248,4.73439,1.13,-0.330386,0.001,1,288162,4.30381,6.32104,6.87832,4.87783,0.0151202,0.00161164,163,apple,0,27,25
"Musamita Aevisensus","","Q",1,240,62,68,1019,NW,migrate,4.66084,9.62185,1.01899,2.20212,0.001,1,287633,4.30381,8.89741,3.65038,8.82014,0.0186054,0.00169854,156,banana,0,26,7
"Malumita Pertisensus","","0",1,240,391,24,940,S,hungry,3.0263,9.08263,0.939991,-0.948223,0.001,1,912627,4.47797,6.32104,6.90387,8.82014,0.0172553,0.00100874,163,apple,0,27,30
